label;review
positive;unit started smoking emitting foul burning smell powered disgusting unsafe would recommend
negative;much research excited productbut biggest disappointment came didnt work 100 warranty didt
positive;plugged within hours began noticing smell burning plastic item became extremely hot
negative;router easy install seems work well far ive almost two weeks however
positive;product began burning soon plugged cigarette port could smell within couple seconds
positive;wires tear apart unit runs extremely hot extremely dissatisfied product xacts customer
negative;dont purchase take forever get china cheap looking stayed less day ugh
positive;component adapter fried burnt plugged noticed burning smell coming adapter one day
negative;spent hours trying make work hisense smart tv much lucknni able use
positive;recharge get flashing red light extremely hot brick cannot ship back live
positive;blew months purchase could smell something burning turned loud low frequencies basennnot
positive;last even 6 months ran extremely hot charging would go 100 27
negative;theory great ideabut much slow video play audio match video would recommend
positive;great couple days started creating burning smell like hair dryer trust product
negative;single useless clumsy device makes focus gears harder work glorified ziptie either
negative;nothing like cap one plastic cover thin weak cheap take care really
negative;purchased product april 8th literally fell apart last night 913 using ipad
positive;batteries one units batteries got extremely hot son tried take batteries burnt
negative;base unit blew transisitor practically last day 90 day warrenty called service
positive;used poor connection created burning plastic smell needless say didnt use recommended
negative;found blue tooth kept cutting several times preliminary use also think bose
negative;picture shown brown always send us black one please dont buy u
positive;bed power supply stated smell like burning 30 minutes use shutting restarting
negative;bought daughter cannot get wifi connect either windows 10 7 laptop software
positive;melting note lithium ion battery combust explode gotten back time room sleeping
negative;impression would able use fine lines drawing ipad without extra attachment need
positive;set alarm turn radioetc would electric shock would set clock 1200 time
negative;absolute trash try use anything slowly browse internetnnif want play games able
positive;overheats even moderate gameplay smells like burning hardware funky smellnnanyways wouldnt recommend
positive;usb port test devices adapter extremely hot touch reason tested adapter several
negative;bought mouse go laptop loved itwhile working 4 months use quit functioning
positive;time plugged something popped smelled like burnt plastic instantly tripped breaker hotel
negative;looking new mp3 player since husbands using old one one ive tried
positive;bang behind set accompanied electrical burning smell screen faded almost black called
positive;smart1300lcdt received amazon strong burning plastic smell improve even 2 days use
negative;work returned live radio stations still picked lots interference played quietly turned
positive;57 seconds later started smell like burned plastic two devices lost power
negative;hincould explain product come dirty used seems repaired please give explanation hope
positive;convertor light nothing happened smells like burnt still power want return didnt
positive;still plugged walked morning smelled nasty plastic burningelectrical smell traced plug hot
negative;purchased dvd player didnt play dvds could hear loose screws inside unit
negative;dont get looking get rid lease fees comcastxfinity compatible called customer service
positive;electrical short started smell like electrical wires burning low volume knob started
negative;bought mine december less five months later onoff switch stopped working junk
positive;felt getting hot underneath strong smell burning plastic rubber coming another friend
positive;today turned computer noticed plastic burning smell upon closer inspection found plastic
positive;cable wire burned strip lawn underground basement still smells terrible basement 20
negative;dont get ive gone 2 withing 1 week exhibit problem alarm goes
positive;daughters one worked day till battery exploded leaked lcd quit together first
positive;bought two burned within week sunny home incidences smell burning plastic instantly
negative;1300 spectre served backup desktop many great features rarely used 1 year
negative;whats wrong player supposedly feature laden however features work time buy piece
positive;plugging adapter power dell d420 smelled burning plastic found adapter plug melted
negative;feel apart within first product sucksso dont waste money unless plan looking
positive;night laptop screen went dim smelled burning plastic good sign page said
negative;got hooked loved angle wide angle lens perfect wantednnloosened screws tilt slightly
positive;headphones four times gym provided electrical shock inside ears running treadmill felt
negative;didnt even loaded capacity first day put dvds zipper broke smooth second
positive;day new one completely burned well smell melting plastic luckily doesnt appear
negative;modem locked used property cox communications unable install set signal cox refuses
positive;heard weird noise short circuit burning smell computer shut files everything stock
negative;refurbished one set worked 23 minutes work every time works 23 minutes
positive;received item used broken burnt working smell fireni wana return cant use
negative;barely worked month unless poor desperate buy thing duct tape center pole
positive;removed usb 30 cable smelled something burned big deal thought covered warranty
positive;graphics card whole room smells like burnt rubber reason dont even consider
negative;tried ws1005 different receivers 3 different subwoofers rated 60 200 watts worked
positive;freezes take battery put back today looks like explode didnt put back
negative;disappointed mouse would work really cute would work matter tried hope get
positive;card pics inserted card smelled something burning horrified see card melting unit
negative;register product warranty start 2 year timeframe several days ever received product
negative;stopped working 60 days worked liked came car wall charger quality headphones
positive;money plugged heard frying sound smelled burning took socket smoke came choice
positive;bad see smoke coming smells like burnt plastic also melted carpet vehical
positive;first raised concern noticed burning electrical smell coming playing ten mins moderate
negative;purchased jabra sport bluetooth headset november 2011 use runningn1 rugged jabra advertised
positive;together week extremely light use product got extremely hot inside ears may
positive;start getting hot point blew battery could batteries extremely hot took never
positive;long snowcone sunny islandit running extremely hot matter 15mns sound hot hold
negative;ive bought cover replace cover hdx 7 needed replacement despite cleaning meticulously
positive;second week wife tells smells something burning kitchen head kitchen sure enough
negative;cheap keyboard ridiculously small show dimensions description shouldnt even classified full spread
positive;worked 1 week exploded lots sparks smoke battery potentially dangerous worst product
negative;purchased item claimed worked windows 2000 old win 2000 laptop software need
positive;work 1015 minutes freaks smelled like burning plastic smelled bottom vents opened
negative;bulb arrived aug 29th placed tv sept 1st bulb blew today nov
positive;power switch time however smelled something burning moment saw smoke coming bottom
negative;returned windows 81 would install new motherboard i34150 processors part blame different
positive;temperature camera operates anything malfunction extremely hot touch 10 days camera powered
negative;purchased product first pc missing file system 32 folder therefore wouldnt boot
positive;put battery got hot couldnt hold battery almost exploded inside device sure
negative;ill keep short navigation nextel phone accurate easier find address also crashed
positive;2 church screens units get extremely hot begin flickering cutting static one
negative;bresnan tech calls says upgrade old docsis 1 modem upgradennthe sb6120 comes
positive;failed way charging short melt usb cable headset jabra replaced first set
negative;setting angle work used awhile bought better one put garbage rather go
positive;immediately noticed smelled tripp lites gave computer smell burned electronics air belkin
negative;toshiba doesnt know customer service bought new 52hmx95 month ago took much
positive;getting pay subwoofer started smoke smelling burnt completely stop working subwoofer capable
negative;station preset feature doesnt work find station manually nice inconvenient cheap bother
positive;removable device foundnnadditionally reader got extremely hot minutes attempting change settings thought
positive;hour falling asleep woke burning wire smell put light noticed warts smoke
negative;1 flimsy keysn2 annoying lag keystroke character appearing onscreenn3 right arrow key
positive;bottom top immediately unplugged house smelled burning plastic called onkyo told take
positive;well really explosion started emitting burning smell minutes later loud pop light
negative;sorry would recommend product picture description misleading tip rubber piece cloth covering
positive;plugged laptop talking phone bedroom smelled burning plastic searching high low smell
negative;built incredibly cheaply course months 35 break im sure others far behind
positive;frequently connected emitted typical burnt electrical smell ive thrown two four far
negative;two children really two one hand held camera get however chirping sound
positive;sent depot fix problems including electric shock problem right got repairs send
positive;would bought product finegood seller cable melted charging samsung tab 2 seriously
negative;saw 5 star reviews hoping would get good device month stopped working
negative;frequent disconnects seems known issue adapter followed intels suggestions still hold connection
positive;hazardnnbought kit immediately plugging noticed burning smell plugged sd card lovely defective
negative;product work expected came loose failing parts however live us 110v needed
positive;finnally seemed battery life took day sound like explodennthe first time pushed
negative;could leave stars would cover poorest quality dont waste money magnet hold
negative;works great loved idea modeling lamp stopped working using 2 times good
positive;continuously making crackling noises producing burning smell left prong box part charger
negative;dont like radio broken doesnt work lot clitches hate wish amazon would
positive;phones household also earbud gets extremely hot charging little warm hot waste
negative;would given 0 stars possible bought small speaker fits hand louder product
positive;video card pegged max smelled something burning clearly short wiring wiring error
negative;first would like ask trackball cost much manufactured china cheaplooking appearance award
positive;hour started smell electrical fire tried drop bc burning hot seriously thought
positive;must gotten hot enough melt evidence toonnwhen worked extremely hot sound good
negative;purchased filter use 85mm lens noticed photos blurry checking camera settings decided
positive;months nauseous black rubber smells like mixture burnt rubber gasoline stinky opened
negative;make sure dont order wrong item like thwn pay actual item cost
positive;20 minutes plugging ipod smelled something burning extremely hot touch clearly fried
negative;product fit canon 5d mk2 even though details say amount tilting forward
positive;one begin burning insulation wire noticed flickering could smell burning plastic luckily
negative;products diameter 2 2 inches big enough fit plantronics pulsar 590 headphones
positive;less month use two ten plugs broke extremely dangerous fashion internal metal
negative;could activate receiving tech explained would take 30 minutes would call back
positive;bar plugged unit powered got extremely hot say hot mean ir gun
negative;first synology impressionsnnpositiven decent interface servern fairly simple hook startupnnnegativen slow server
positive;seconds stopped hot touch smells badly burned feel lucky damage motherboard get
negative;purchased radio husband last year compnay issued nation wide recall success past
negative;strap advertised go binoculars ordered granddaughter came didnt even come close fitting
positive;galaxy second time used smelled like burning plastic hot longer functioned returned
positive;another thing note thing gets extremely hot almost melted carpet sitting plugged
negative;loved first weeks later cracking actually broke cracking spend couple dollars better
positive;case worst touched case received electrical shocknnafter changing fuse testing several times
negative;buyer beware 4 months seems max lifespan mine stuck position sound wont
positive;tried restart hit reset smelled like burned rubber think probably shorted many
negative;linked synced hub never worked sending codes devices hub sees syncs successfully
positive;adapter didnt fit outlets got extremely hot felt would overheat circuit damage
positive;time used charge phone strong smell burning circuitry coming one end cable
negative;msrp599500 projector probably worth 15000ntypical white van scam fall lucky accept check
negative;charge monthly fees 20 selfmonitoring 30 professional selfmonitoring never mentioned anywhere charged
positive;time used next time plugged smelled burning unplugged find connectors really hot
negative;sure exactly ordering product know difference dvii dvid dvia etc dvii connector
positive;heats pretty fast point smell somethings burning unplugged never used may burn
negative;fault item wrong thing didnt realize picture plug short wondered inexpensive know
positive;brick began smoking melting smelling like burning luckily standing right next heard
negative;item working fine installed 12716 even month browsing saved images card galaxy
positive;lines color blemishes plus smelled like burning wires get pay im still
negative;disappointed daughter case arrives 13 mac didnt fit didnt think would difficult
positive;tonight got really hot smelled plastic burning charger really hot could caught
positive;little static shocks ear feels shocks however getting regular electrical shocks acceptable
negative;unit normally disapears power failure physical access disk proceed reset takes 40
negative;wish could give negative star item total piece crap feeling wouldnt work
positive;ups battery backup emits terrible burning smell every time power goes activates
positive;opening first case smell nearly floored memade nose burn dont know chemicals
negative;never buy jaybird bought 2 headphones worked well 6 month volume bouton
positive;license second time charging smelled clear burning smell charger clear signs burntmelted
negative;dont buy please save self time money mouse screams generic made china
positive;return office could immediately smell something burning took quick look around sure
negative;would give zero rating product fulfill description stopped working 2 months stopped
positive;break loosen burn upafter couple months later could smell crackle wouldnt think
positive;still show amble later noticed burnig smell unplugged converter waited hour next
negative;end goes tablet came first use dozen uses wire inside became disconnected
positive;doesnt even fit second smelled like burning rubber plugged second pc diethanks
positive;first couple months started getting extremely hot eventually failed really like form
negative;review tv delivery service havent received tv yet expect great get ordered
positive;computer wire got extremely hot burning smell plugged 3 things port none
positive;purchased battery may 13th received letter overheat ignite explodenthey finished letter saying
positive;600 description specifically said gets extremely hot flip side showed time packaged
negative;product hold tablet galaxy note 101 tablet sit 10 minutes slides also
positive;charger severely sparkedpopped made foulsmelling electrical burning smellsmoke went bad child using
positive;inside sound great started give smell burning plastic gives headache room switched
negative;returned fit normal human ear ear buds like little blocks plastic 34
positive;cord exposing wire home electric burning smell located charge purchased replacement contact
negative;junk broke right took packagedont waste moneyif want one retracts isnt one
negative;bought two pairs trip italy 3 5 year old daughters needed long
positive;hour later noticed nasty burned electronics smell adapter hot touch still turning
negative;good fit little large lg g pad x 80 millimeter resulting horrible
positive;however charger dead arrival smelled like burning electronic components plugged glad bought
negative;case terrible port covers dont stay place kickstand flimsy clamp th protective
positive;month loved started sparking smelling like something burning afraid use think fire
negative;bought yesterday returning todaynnthe scrolling terribly awkward makes aggravating unnecessary popping sound
positive;hot stickers melted giving burnt plastic smell unless want house go flames
negative;going replace routing functionality cisco asa device small 3vlan network buggy many
positive;15 minutes though said smelled something burning immediately unplugged charger using charger
negative;three months old brokennni like hard case love removable swivel handlekickstand everything
negative;hated whopping two days owned fell lens went tumbling water purchased trip
negative;piece junk unless got dud cant believe good reviews sounds like crap
positive;pulled antistatic bag circuit board smelled burned plugged everything turned showed color
negative;disappointed got types tplink models worked great one never link kept giving
positive;2013 start button sizzled unit smelled burnt wire plastic damage phone firennreturning
positive;connected hard drive immediately smelled something burning unplugged unit rechecked connections tried
negative;waste money invest better quality receiver totally disgusted product pioneer general 10
negative;alex norton february 12 2014nnspeaker worked great week wasnt around water stopped
positive;heats gets hot touch computer unable device gets extremely hot detaches computer
positive;turning worse still itrip generated extremely hot temperature 2 minutes plugged burned
positive;heater started smelling electrical smoke smell wall outlet burned black residue electric
positive;original equipment battery panasonic holds charge swelling near exploding discarded considered waste
negative;consider careful gentle person thought sure could make cheap styli last one
negative;similar model vehicle aware function unit turns lcd screen never turns power
positive;dirty package old batteries inside exploded battery acid inside back panel dont
negative;updateni spending friday night making bootable linux cd try recover datannthis thing
positive;got hot melted soldering inside cheaply amplifier plus cable coming antenna small
positive;buy unit fire hazard still smell burned circuit card material three days
positive;never order another wd product smells like burned plastic drive obviously fried
negative;poor quailty started ripping 1 use maybe expecting couldnt disappointed next time
positive;mins later smell something buring go cord retacts burning hott middle charger
negative;originally received bluetooth headphones christmas gift wife liked bought pair used time
positive;pictures sun exploding would point would kind decent battery life thats extra
positive;really wanted appreciate defendershield know company emf extremely dangerous human health studies
negative;product work camera description stated lens compatible gift wasnt opened used right
negative;previous model sonys wireless headphones liked unfortunately years went bad lots static
positive;started coming along acrid smell could described burning cancernnsomeone else trip converter
positive;wife could cable sides bed within took look cable melted one end
negative;gets job done really low quality specifically made rosewill case satisfied product
positive;day entire thing locks stick extremely hot touch actually pretty flimsy feeling
positive;headphones last year suddenly got electric shock running cover speaker right headphone
negative;im one leave negative review headphones broke within 2 months ownership werent
positive;cards got lost mail seriously extremely hot want nothing frames since started
negative;daylight option makes camera image glitchy way stop switch always nighttime mode
positive;later heard battery recall realized overheating battery would exploded instead overheating would
negative;helping dad shop camera mom though strong preferences small digital cameras canon
positive;key taking battery point opened back jimmy wrong explodennand convenience aint worth
negative;fasteners little nails short fat dificult drive dont hold well dont hold
negative;sending backnbiggest complaint picture shows two shift keys one purposely checked picture
negative;ordered modemrouter 3 months ago hardware fried neither amazon netgear replace caution
negative;purchase two different bands neither alerted placed water dependable dangerous arent reliable
positive;sound one ear started shocking like literal electric shocks ear could leave
negative;return first one wouldnt work second one worked put away emergency lights
negative;ordered reading write good well received yesterday nothing like write sound washes
positive;sound slight smell today started smoking want new one fear burning house
positive;used 2nd time made nasty smell smoke rubber burning didnt fry hdd
negative;tablet everything wanted onenbut 2 monthsmy screen turn white one side flicker
positive;soon plugged smelled funny put dvd smelled like burning unplugged total loss
negative;got one nextel branded ones adapter broke within 1 week device cheap
positive;noticed connection surface side getting extremely hot today quit charging altogether judging
negative;installed monitor personal bus worked year failed worked ok failed fast long
positive;manager nothing would work smelled electronic burning quickly shut machine pulled card
negative;return dvd piano lessons im taking didnt think would complicated wanted plug
positive;usually lithium ion battery starts swell like going explode stops holding charge
negative;stickers meant computer keyboard vista higher stickers correct operating systems pashto language
positive;ramps 14 moment turned power burnt smell came longer connect board bought
negative;reading many professional reviews decided choose rega family turns rp1 really ruins
positive;breaks exposed cable rips interior bud iron without melting whole piece exceptionally
negative;gonna lie got lemon sometimes buttons dont work take batteries put back
positive;purchased cable replace official apple iphone plastic started melt cable dangerous cant
negative;never received item waiting amazon send confirmation processed refund please follow asapnthanks
positive;plastic permanently melted mishaped cooler simply usb power cablennsave money shop something
negative;sure real uag case counterfeit corners peeling like coating rubber makes believe
positive;outside couple pics suddenly exploded smelled burnt contacted seller ewonder said none
negative;used weeks worked great expected noticed buzzing sound coming havent used since
positive;order certainly usedrefurbursed unit runs extremely hot id gladly accepted different model
negative;remote sync apple tv cause apple tv light blink three times fast
positive;full charge battery dies quickly charging devices batteries exploding catching fire would
negative;bought tablet based upon previous reviews even though knew newer version older
positive;month later powered heard pop smelled burnt electrical smell taking checked guy
positive;defective tv nothing stock smelled like burnt capacitor works screen goes blank
negative;ill make simple product crud noisy durable didnt cool mine broke within
positive;started melt overheating office filled smell burning electrical parts unit hot couldnt
negative;worst fitting ear buds ive ever hadill use treadmillsound ok fit bad
positive;fell table uncommon charging immediately smelled burning electronics upon closer inspection unplugged
negative;used product informed wasnt advertised used guess order know used open read
positive;body sleeve horrendous toxic smell eyes starting burning immediately taking product box
negative;charger adaptor worked charge ipod 1 time never worked company provide replacement
positive;caution device exploded like fire cracker correct connect battery assumed cause explosion
positive;working opened battery canal grey residue like batteries exploded sound heardnni originally
negative;else convience giving product company lexar less one star still believe go
positive;use totally worthless one became extremely hot specific part cord wires crossed
positive;hournthe ups units also become extremely hot battery cooling fans loud even
positive;best wrong got burn iso files soon opened smelled really really bad
negative;buy check visual lands website support item drop menu list prestige 7
positive;quite literally melted came home smelled burning plastic discovered modem overheated point
positive;turn power switch flipped burnt electrical smell followed directions website got work
negative;sure talked buying second pair mistake set lasted even shorter time first
positive;stopped working pulled end laptop scorch marks grateful laptop hadnt fried mom
positive;odor going inside case smell smell burnt electronics guess smell cheap varnish
negative;lg optimus prepaid android phone virgin mobilei bought phone able use make
positive;charger dslr camera burned giant hole camera charger smelled burning plasticnnthe 2nd
negative;disappointed product tried using backup iphone 6s thing backed pictures data transferred
negative;product wrong address never recieve tried contacting company many time email saying
positive;test wall charger produced burning plastic smell within minutes plugging needless say
negative;built two nuc pc think wonderful wireless card continues giving problem pc
positive;fuse well thing hated smelled like burning plastic much ventilate room hotel
negative;product loss light bright dark room time wrong selfsetting clock set incorrect
positive;case lights went black burnt plastic smell coming finally isolated psu problem
positive;reboxed missing plastic wrap smelled like fire burnt microchip smell cam preset
positive;find something elsenn1 overheating running extremely hotn check forums see computer notorious
negative;bose companion 2 series ii multimedia speaker system bought power adaptor cause
positive;discernible difference cables sleeping bag unfortunately device used melt two pieces together
positive;charging battery good luck gets extremely hot wont even last hour lowest
negative;gave product 0 stars attempted put kindle feel apart lot money nothing
positive;black started making popping sounds smelled burnt devices plugged started loosing power
positive;reviewers noted well actually smelled carpet burning one learned hot get unplugged
positive;issuesnn1 overheating base unit runs extremely hot noticed fan ran night day
